College Code,College Name,Branch Code,Branch Name,OC,BC,BCM,MBC,MBCDNC,MBCV,SC,SCA,ST
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,BY,BIO MEDICAL ENGINEERING (SS),195,191.5,193.5,188.845,,,184,164,
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,CE,CIVIL ENGINEERING,193,190,192,187,,,183,173.5,177.5
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,CM,COMPUTER SCIENCE AND ENGINEERING (SS),199.5,199,198.5,199,,,196,178,192
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,CS,COMPUTER SCIENCE AND ENGINEERING,200,200,199.5,199.5,,,198.5,185.5,
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,200,199.5,198,198.5,,,195,186,180.5
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,198,197.5,195,195.5,,,189,176.5,171
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,EM,ELECTRONICS AND COMMUNICATION ENGINEERING (SS),199,198.5,197.5,197,,,191.5,190,175.5
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,GI,GEO INFORMATICS,191,188.5,188.5,187.5,,,179.5,159.5,155.5
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,IE,INDUSTRIAL ENGINEERING,189,184.5,185.5,179.5,,,169.5,148,
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,IM,INFORMATION TECHNOLOGY (SS),199,198.5,198,198,,,191.5,176,182.5
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,MA,MATERIAL SCIENCE AND ENGINEERING (SS),187.5,182,184,176.5,,,171.5,173,
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,ME,MECHANICAL ENGINEERING,195.5,193.5,191,191.5,,,182.5,168,
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,MI,MINING ENGINEERING,187,181.5,174,175,,,170.5,163,
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,MN,MANUFACTURING ENGINEERING,186,179,182,179.89,,,165,136.5,135
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,PT,PRINTING AND PACKING TECHNOLOGY,181.955,170.5,173,171.5,,,162,131,
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,XC,CIVIL ENGINEERING (TAMIL MEDIUM),180.5,174,161,165.5,,,166,157.5,
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,XM,MECHANICAL ENGINEERING (TAMIL MEDIUM),180,175.5,175.5,168,,,166,,134.5
2,University Departments of Anna University Chennai - ACT Campus Sardar Patel Road Guindy Chennai 600 025,AP,APPAREL TECHNOLOGY (SS),166.5,156,160,152,,,141.5,118,129
2,University Departments of Anna University Chennai - ACT Campus Sardar Patel Road Guindy Chennai 600 025,CH,CHEMICAL ENGINEERING,192.5,190,187,184.5,,,177,171.29,
2,University Departments of Anna University Chennai - ACT Campus Sardar Patel Road Guindy Chennai 600 025,CL,CHEMICAL ENGINEERING (SS),189.5,185.5,185.5,182.5,,,164,151,140.5
2,University Departments of Anna University Chennai - ACT Campus Sardar Patel Road Guindy Chennai 600 025,CR,CERAMIC TECHNOLOGY (SS),170.5,157.5,152,155.5,,,146.5,140,
2,University Departments of Anna University Chennai - ACT Campus Sardar Patel Road Guindy Chennai 600 025,FS,FOOD TECHNOLOGY (SS),189,177.615,178.5,175,,,167.5,176.47,
2,University Departments of Anna University Chennai - ACT Campus Sardar Patel Road Guindy Chennai 600 025,IB,INDUSTRIAL BIO TECHNOLOGY,190,187,186,181.5,,,185,152.5,
2,University Departments of Anna University Chennai - ACT Campus Sardar Patel Road Guindy Chennai 600 025,IS,INDUSTRIAL BIO TECHNOLOGY (SS),186,184.5,182.5,177,,,179.5,,144
2,University Departments of Anna University Chennai - ACT Campus Sardar Patel Road Guindy Chennai 600 025,LE,LEATHER TECHNOLOGY,168,156.5,161,153.5,,,143.5,141.5,147.5
2,University Departments of Anna University Chennai - ACT Campus Sardar Patel Road Guindy Chennai 600 025,PM,PHARMACEUTICAL TECHNOLOGY (SS),181,171,166.5,169,,,167,125.5,
2,University Departments of Anna University Chennai - ACT Campus Sardar Patel Road Guindy Chennai 600 025,PP,PETROLEUM ENGINEERING AND TECHNOLOGY (SS),176.5,168.5,173.5,163,,,150.5,137.5,
2,University Departments of Anna University Chennai - ACT Campus Sardar Patel Road Guindy Chennai 600 025,TX,TEXTILE TECHNOLOGY,169.5,160.5,153,162.5,,,142,144,
3,School of Architecture and Planning Anna University Chennai 600025,BP,B.Plan,183,177.5,176,167.5,,,163.5,,157.5
4,University Departments of Anna University Chennai - MIT Campus Chrompet Tambaram Taluk Chengalpattu District 600 044,AE,AERONAUTICAL ENGINEERING,195,192.5,191.5,191,,,184.545,159.5,
4,University Departments of Anna University Chennai - MIT Campus Chrompet Tambaram Taluk Chengalpattu District 600 044,AT,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE (SS),198,197,196,197,,,188.5,187,175.5
4,University Departments of Anna University Chennai - MIT Campus Chrompet Tambaram Taluk Chengalpattu District 600 044,AU,AUTOMOBILE ENGINEERING,190,180.5,188,183,,,172,163.405,136.5
4,University Departments of Anna University Chennai - MIT Campus Chrompet Tambaram Taluk Chengalpattu District 600 044,CM,COMPUTER SCIENCE AND ENGINEERING (SS),198.5,198,197,197,,,190,,175
4,University Departments of Anna University Chennai - MIT Campus Chrompet Tambaram Taluk Chengalpattu District 600 044,CS,COMPUTER SCIENCE AND ENGINEERING,199,198.5,198,197.5,,,193.5,188,179.5
4,University Departments of Anna University Chennai - MIT Campus Chrompet Tambaram Taluk Chengalpattu District 600 044,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,198.5,197.5,197,196.5,,,190.5,178.5,168.5
4,University Departments of Anna University Chennai - MIT Campus Chrompet Tambaram Taluk Chengalpattu District 600 044,EI,ELECTRONICS AND INSTRUMENTATION ENGINEERING,195.5,193.5,192,193,,,180.5,174,
4,University Departments of Anna University Chennai - MIT Campus Chrompet Tambaram Taluk Chengalpattu District 600 044,EM,ELECTRONICS AND COMMUNICATION ENGINEERING (SS),197,197,195.5,196,,,188.5,175,
4,University Departments of Anna University Chennai - MIT Campus Chrompet Tambaram Taluk Chengalpattu District 600 044,IM,INFORMATION TECHNOLOGY (SS),197.5,197,196,196.5,,,189,179.5,
4,University Departments of Anna University Chennai - MIT Campus Chrompet Tambaram Taluk Chengalpattu District 600 044,PR,PRODUCTION ENGINEERING,185.5,180,177.5,177,,,167.5,149,
4,University Departments of Anna University Chennai - MIT Campus Chrompet Tambaram Taluk Chengalpattu District 600 044,RA,ROBOTICS AND AUTOMATION (SS),195.5,193.5,193.5,193,,,186.5,164,138
4,University Departments of Anna University Chennai - MIT Campus Chrompet Tambaram Taluk Chengalpattu District 600 044,RP,RUBBER AND PLASTIC TECHNOLOGY,177.5,172.5,167.5,165,,,152.5,140.5,
5,Annamalai University Faculty of Engineering and Technology Annamalai nagar Cuddalore,AM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),167.5,133,148.5,143.5,,,141.5,100.5,
5,Annamalai University Faculty of Engineering and Technology Annamalai nagar Cuddalore,CE,CIVIL ENGINEERING,128,,,97,,,108,127.5,
5,Annamalai University Faculty of Engineering and Technology Annamalai nagar Cuddalore,CF,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),160.5,136,147.5,140.5,,,135.5,,
5,Annamalai University Faculty of Engineering and Technology Annamalai nagar Cuddalore,CH,CHEMICAL ENGINEERING,133.5,***,103.5,***,,,110.5,,
5,Annamalai University Faculty of Engineering and Technology Annamalai nagar Cuddalore,CS,COMPUTER SCIENCE AND ENGINEERING,163,142,149.5,142.5,,,142.5,117,123.5
5,Annamalai University Faculty of Engineering and Technology Annamalai nagar Cuddalore,CZ,CIVIL AND STRUCTUTURAL ENGINEERING,109.5,,,***,,,97.5,,
5,Annamalai University Faculty of Engineering and Technology Annamalai nagar Cuddalore,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,158,128.5,137.5,140.5,,,134,103,132.5
5,Annamalai University Faculty of Engineering and Technology Annamalai nagar Cuddalore,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,133,***,,109,,,114,,
5,Annamalai University Faculty of Engineering and Technology Annamalai nagar Cuddalore,EI,ELECTRONICS AND INSTRUMENTATION ENGINEERING,128,***,118.5,105,,,104,,
5,Annamalai University Faculty of Engineering and Technology Annamalai nagar Cuddalore,IT,INFORMATION TECHNOLOGY,158,130,141.5,140.5,,,135,***,
5,Annamalai University Faculty of Engineering and Technology Annamalai nagar Cuddalore,ME,MECHANICAL ENGINEERING,117.5,***,***,***,,,***,***,
5,Annamalai University Faculty of Engineering and Technology Annamalai nagar Cuddalore,MM,MECHANICAL ENGINEERING (MANUFACTURING),***,,,,,,,,
1013,University College of Engineering Villupuram Kakuppam Villupuram District 605103,CS,COMPUTER SCIENCE AND ENGINEERING,177.5,154,158,162.5,,,138.5,111.5,
1013,University College of Engineering Villupuram Kakuppam Villupuram District 605103,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,152.5,135.5,128,146.5,,,130.5,,
1013,University College of Engineering Villupuram Kakuppam Villupuram District 605103,IT,INFORMATION TECHNOLOGY,167,148,144.5,152.5,,,140.5,,148
